name,lang,id,n,size(B),cpu-time(s),mem(KB),status,make-time(s),elapsed-time(s),threefour(s),onetwo(s),cpu-time-mean(s),cpu-time-variance,cpu-time-sample
binarytrees,icx,1,21,660,17.903,271839232,0,4.31,17.909,0.000,0.000,0.000,0.000,1
binarytrees,icx,1,21,660,18.300,271921152,0,4.31,18.306,0.000,0.000,0.000,0.000,1
binarytrees,icx,1,21,660,18.054,271847424,0,4.31,18.062,0.000,0.000,0.000,0.000,1
binarytrees,icx,1,21,660,17.950,271843328,0,4.31,17.957,0.000,0.000,0.000,0.000,1
binarytrees,icx,1,21,660,18.133,271835136,0,4.31,18.140,0.000,0.000,0.000,0.000,1
binarytrees,icx,1,21,660,17.965,271839232,0,4.31,17.970,0.000,0.000,0.000,0.000,1
binarytrees,icx,1,21,660,17.889,271843328,0,4.31,17.895,0.000,0.000,0.000,0.000,1
binarytrees,icx,1,21,660,17.998,271843328,0,4.31,18.005,0.000,0.000,0.000,0.000,1
binarytrees,icx,1,21,660,17.950,271835136,0,4.31,17.957,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,3,7,546,0.015,11296768,0,95.62,0.274,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,3,21,546,4.873,290619392,0,95.62,4.883,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,3,21,546,4.838,290619392,0,95.62,4.843,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,3,21,546,4.866,290648064,0,95.62,4.872,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,3,21,546,4.875,290619392,0,95.62,4.880,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,3,21,546,4.857,290635776,0,95.62,4.863,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,3,21,546,4.894,290623488,0,95.62,4.899,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,3,21,546,4.866,290471936,0,95.62,4.872,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,3,21,546,4.988,309972992,0,95.62,4.994,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,3,21,546,4.986,303071232,0,95.62,4.991,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,3,21,546,4.834,296222720,0,95.62,4.839,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,3,21,546,4.877,290639872,0,95.62,4.883,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,3,21,546,5.003,309940224,0,95.62,5.009,0.000,0.000,0.000,0.000,1
binarytrees,vw,3,21,932,2358.160,3582951424,0,436.04,2338.218,0.000,0.000,0.000,0.000,1
binarytrees,lua,4,21,670,179.731,2606104576,0,0.00,49.038,0.000,0.000,0.000,0.000,1
binarytrees,lua,4,21,670,178.755,2606288896,0,0.00,48.274,0.000,0.000,0.000,0.000,1
binarytrees,lua,4,21,670,179.387,2606026752,0,0.00,48.341,0.000,0.000,0.000,0.000,1
binarytrees,lua,4,21,670,179.372,2606321664,0,0.00,48.642,0.000,0.000,0.000,0.000,1
binarytrees,lua,4,21,670,178.537,2606239744,0,0.00,48.211,0.000,0.000,0.000,0.000,1
binarytrees,lua,4,21,670,179.084,2606018560,0,0.00,48.422,0.000,0.000,0.000,0.000,1
binarytrees,lua,4,21,670,180.642,2606030848,0,0.00,48.909,0.000,0.000,0.000,0.000,1
binarytrees,lua,4,21,670,178.922,2606166016,0,0.00,48.324,0.000,0.000,0.000,0.000,1
binarytrees,lua,4,21,670,179.333,2606149632,0,0.00,48.641,0.000,0.000,0.000,0.000,1
